==========================================================================================
n_gen  |  n_eval  | n_nds  |     cv_min    |     cv_avg    |      eps      |   indicator  
==========================================================================================
     1 |       50 |     10 |  0.000000E+00 |  9.157033E+03 |             - |             -
     2 |      100 |     17 |  0.000000E+00 |  0.000000E+00 |  0.0237175430 |             f
     3 |      150 |     25 |  0.000000E+00 |  0.000000E+00 |  0.0032638235 |         ideal
     4 |      200 |     30 |  0.000000E+00 |  0.000000E+00 |  0.0044442192 |         ideal
     5 |      250 |     35 |  0.000000E+00 |  0.000000E+00 |  0.0160634255 |             f
     6 |      300 |     49 |  0.000000E+00 |  0.000000E+00 |  0.0081989559 |             f
     7 |      350 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0055245094 |             f
     8 |      400 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0069705735 |             f
     9 |      450 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0139186141 |         ideal
    10 |      500 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0038758405 |             f
    11 |      550 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0033542909 |             f
    12 |      600 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0057952201 |         ideal
    13 |      650 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0349801291 |         nadir
    14 |      700 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0028904269 |             f
    15 |      750 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0216701362 |         ideal
    16 |      800 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0050354675 |             f
    17 |      850 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0020540079 |             f
    18 |      900 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0034298849 |         ideal
    19 |      950 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0015014744 |             f
    20 |     1000 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0029631478 |             f
    21 |     1050 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0020123402 |             f
    22 |     1100 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0040661678 |             f
    23 |     1150 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0095985192 |         ideal
    24 |     1200 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0172139134 |         nadir
    25 |     1250 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0029677644 |             f
    26 |     1300 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0053526734 |         nadir
    27 |     1350 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0026117270 |             f
    28 |     1400 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0038299738 |             f
    29 |     1450 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0032923751 |             f
    30 |     1500 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0011968570 |             f
