Pareto前沿最优解集
================================================================================
解数量: 100
变量数: 3, 目标数: 2
================================================================================

序号 | 1 | 2 | 3 | grain | load | 约束违反
----------------------------------------------------------------------------------------------------
   1 | 953.354 | 700 | 10.0037 | 29.9999 | 233360 | 0
   2 | 906.228 | 700 | 49.2816 | 19.7158 | 329977 | 0
   3 | 950.32 | 700 | 10.003 | 29.0921 | 238537 | 0
   4 | 914.51 | 700 | 10.003 | 21.3803 | 303382 | 0
   5 | 951.509 | 699.7 | 10 | 29.4408 | 236565 | 0
   6 | 940.3 | 699.996 | 10.0024 | 26.3768 | 255988 | 0
   7 | 935.378 | 700 | 10.0017 | 25.2014 | 264757 | 0
   8 | 932.498 | 699.896 | 10.0003 | 24.5621 | 269969 | 0
   9 | 905.16 | 700 | 10.0032 | 20.2772 | 321449 | 0
  10 | 941.871 | 699.999 | 10 | 26.7731 | 253217 | 0
  11 | 952.889 | 700 | 10.0036 | 29.8583 | 234149 | 0
  12 | 947.805 | 700 | 10.0036 | 28.3701 | 242866 | 0
  13 | 943.069 | 699.987 | 10.0034 | 27.0843 | 251112 | 0
  14 | 924.957 | 700 | 10.0016 | 23.0583 | 283754 | 0
  15 | 904.507 | 700 | 10.0001 | 20.2138 | 322730 | 0
  16 | 913.094 | 700 | 10.018 | 21.1919 | 306078 | 0
  17 | 918.627 | 700 | 10.1057 | 22.0082 | 295515 | 0
  18 | 917.737 | 700 | 10 | 21.8478 | 297258 | 0
  19 | 941.296 | 699.989 | 10.0002 | 26.6265 | 254232 | 0
  20 | 922.981 | 700 | 10.0029 | 22.7052 | 287419 | 0
  21 | 933.36 | 700 | 10.0453 | 24.7628 | 268364 | 0
  22 | 933.549 | 700 | 10.0001 | 24.791 | 268049 | 0
  23 | 930.956 | 700 | 10.0037 | 24.2355 | 272744 | 0
  24 | 903.555 | 700 | 10.0171 | 20.1278 | 324589 | 0
  25 | 930.286 | 699.941 | 10.0002 | 24.0954 | 273979 | 0
  26 | 912.14 | 700 | 10.0001 | 21.0645 | 307918 | 0
  27 | 915.127 | 700 | 10.0002 | 21.4657 | 302208 | 0
  28 | 934.439 | 699.997 | 10.0035 | 24.9898 | 266443 | 0
  29 | 909.805 | 699.996 | 10.0025 | 20.778 | 312415 | 0
  30 | 934.5 | 699.998 | 10.0026 | 25.0033 | 266334 | 0
  31 | 931.859 | 700 | 10.003 | 24.4257 | 271106 | 0
  32 | 948.964 | 700 | 10.1427 | 28.7509 | 240789 | 0
