RL Optimization Results (Stable Baselines3)
==================================================
Total Solutions: 33

Temp(C) | Die(C) | Speed(mm/s) | Grain(um) | Load(N)
--------|--------|-------------|-----------|---------
  910.0 |  569.1 |        23.0 |     22.85 | 326125
  910.6 |  568.1 |        22.8 |     22.94 | 325148
  910.8 |  588.1 |        24.3 |     22.94 | 322056
  913.9 |  548.7 |        22.1 |     23.48 | 321523
  912.6 |  510.2 |        26.2 |     23.52 | 325973
  913.9 |  553.4 |        23.8 |     23.55 | 320350
  913.9 |  568.7 |        25.7 |     23.57 | 318192
  914.3 |  559.2 |        23.4 |     23.59 | 319041
  913.7 |  511.8 |        26.2 |     23.70 | 323688
  917.1 |  521.4 |        25.6 |     24.26 | 316841
  918.4 |  562.1 |        24.1 |     24.34 | 311002
  918.4 |  573.4 |        25.8 |     24.42 | 309340
  918.4 |  533.5 |        24.8 |     24.43 | 313717
  932.9 |  420.1 |        10.0 |     25.10 | 309875
  931.3 |  451.2 |        12.7 |     25.35 | 306771
  930.5 |  475.6 |        13.8 |     25.38 | 304750
  935.1 |  446.3 |        11.2 |     25.67 | 302186
  936.9 |  400.4 |        10.0 |     25.76 | 304714
  935.0 |  455.6 |        12.0 |     25.82 | 300694
  937.4 |  422.0 |        10.2 |     25.86 | 301681
  935.0 |  455.6 |        12.2 |     25.86 | 300459
  937.4 |  414.5 |        10.3 |     25.90 | 302168
  938.6 |  437.0 |        10.0 |     25.99 | 298543
  936.1 |  457.0 |        12.0 |     26.02 | 298584
  938.8 |  432.3 |        10.0 |     26.04 | 298590
  940.4 |  380.4 |        10.2 |     26.41 | 300108
  941.1 |  379.5 |        10.0 |     26.50 | 299136
  936.5 |  437.0 |        14.0 |     26.55 | 297620
  942.7 |  360.4 |        10.0 |     26.80 | 297690
  944.4 |  375.4 |        10.0 |     27.10 | 293861
  945.6 |  369.5 |        10.0 |     27.33 | 292276
  946.0 |  382.6 |        10.0 |     27.41 | 290609
  950.5 |  391.8 |        10.0 |     28.35 | 282407
